Sun Aug 13 19:02:06 2023    results

         1162774169 function calls (825703045 primitive calls) in 464.795 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:191(<lambda>)
        4    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:203(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:220(_update_pixel_ratio)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:229(_update_screen)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:236(showEvent)
        4    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:343(resizeEvent)
        8    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:362(sizeHint)
       12    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:439(draw_idle)
        4    0.012    0.003    0.081    0.020 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:529(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:627(set_window_title)
        4    0.001    0.000    0.013    0.003 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:641(__init__)
       32    0.006    0.000    0.009    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:681(_icon)
        7    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\matplotlib\backends\backend_qt.py:807(set_history_buttons)
     1213    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:90(_event_pipe)
     1213    0.004    0.000    0.060    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:202(schedule)
      411    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:437(_is_master_process)
      411    0.001    0.000    0.033    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:456(_schedule_flush)
      404    0.003    0.000    0.179    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:471(flush)
      411    0.002    0.000    0.037    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\ipykernel\iostream.py:526(write)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\utils\decorators.py:82(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:37(__set__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:37(__set__)
        5    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:59(__set__)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:332(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:374(adj)
        3    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:435(__iter__)
      803    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:453(__contains__)
    21038    0.006    0.000    0.018    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:489(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:515(add_node)
        2    0.001    0.001    0.001    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:563(add_nodes_from)
        3    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:732(nodes)
      400    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:893(add_edge)
        2    0.172    0.086    0.230    0.115 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:961(add_edges_from)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:1358(edges)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:1553(is_multigraph)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:1557(is_directed)
      800    0.001    0.000    0.002    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graph.py:1962(nbunch_iter)
   218366    0.027    0.000    0.027    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\coreviews.py:43(__init__)
   177206    0.036    0.000    0.055    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\coreviews.py:49(__iter__)
  4228106    0.705    0.000    0.705    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\coreviews.py:52(__getitem__)
   218362    0.093    0.000    0.120    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\coreviews.py:80(__getitem__)
        3    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:178(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:185(__iter__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:182(__len__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:63(__set__)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:316(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:364(adj)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:383(succ)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:404(pred)
        1    0.000    0.000    0.001    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:469(add_nodes_from)
     1200    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:768(<listcomp>)
     1200    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:768(<lambda>)
   173715    0.020    0.000    0.020    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:774(<lambda>)
    20636    0.002    0.000    0.002    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:776(<lambda>)
      802    0.002    0.000    0.005    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:760(__init__)
     8557    0.002    0.000    0.003    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:788(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:787(__iter__)
    10718    0.002    0.000    0.010    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:843(<genexpr>)
      400    0.001    0.000    0.012    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:842(__len__)
   186996    0.071    0.000    0.093    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:845(__iter__)
     8556    0.012    0.000    0.014    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:643(add_edge)
        1    0.003    0.003    0.003    0.003 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:713(add_edges_from)
        1    0.001    0.001    0.001    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:828(remove_edges_from)
        3    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:1056(__init__)
      802    0.001    0.000    0.006    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\reportviews.py:1088(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:931(edges)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:1217(is_multigraph)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:1221(is_directed)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\digraph.py:1304(reverse)
      2/1    0.000    0.000    0.001    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\backends.py:129(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\function.py:159(freeze)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graphviews.py:41(generic_graph_view)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\classes\graphviews.py:173(reverse_view)
        1    0.000    0.000    0.001    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\algorithms\shortest_paths\generic.py:179(shortest_path_length)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\algorithms\shortest_paths\unweighted.py:20(single_source_shortest_path_length)
      176    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\algorithms\shortest_paths\unweighted.py:65(_single_shortest_path_length)
        1    0.002    0.002    0.005    0.005 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\algorithms\flow\maxflow.py:452(<listcomp>)
        1    0.000    0.000    3.478    3.478 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\networkx\algorithms\flow\maxflow.py:304(minimum_cut)
